gene_id	gene_name	Control_R1	Control_R2	Control_R3	VSOP_R1	VSOP_R2	VSOP_R3
ENSG00000130720.13	FIBCD1	3	0	0	0	0	0
ENSG00000130723.20	PRRC2B	6225	6646.999	5969.353	6067.999	5255.998	6357
ENSG00000130724.9	CHMP2A	6268.999	7922	6874.001	6427	6424.999	7375.999
ENSG00000130725.8	UBE2M	3721.197	3781.991	3818.987	4187.994	3432	4700.991
ENSG00000130726.12	TRIM28	16289.003	16602	18361.999	17088.999	14414.999	18005.001
ENSG00000130731.16	METTL26	1007	1172	1246.001	1317.999	1052.001	1313
ENSG00000130733.10	YIPF2	1515	1758.001	1566	1616.999	1517	1708.999
ENSG00000130734.10	ATG4D	1204.999	1376.999	1149.999	1509.999	1314.001	1336.999
ENSG00000130741.11	EIF2S3	8179.94	11137.498	8835.758	8687.71	9786.715	9740.348
ENSG00000130748.7	TMEM160	1070	1135	1123	1369	913	1211
ENSG00000130749.10	ZC3H4	3736	3744	3846	4008	3552	4273.001
ENSG00000130751.10	NPAS1	130	212	75.999	197.001	215	93
ENSG00000130755.13	GMFG	5784	6438.999	6838	5348.998	5643.001	6898.999
ENSG00000130758.8	MAP3K10	639.999	745.001	689	786.001	586.001	749
ENSG00000130762.15	ARHGEF16	17	27	8	11	14	14
ENSG00000130764.10	LRRC47	2584.001	2662	2653	2797	2248.001	3030
ENSG00000130766.5	SESN2	2161	2380	1641	2231	2043	1697
ENSG00000130768.15	SMPDL3B	0	6	8	3	3	4
ENSG00000130770.18	ATP5IF1	2097	2274.999	2225	2245.001	2019	2544
ENSG00000130772.14	MED18	1258	1430	1324	1294	1253	1465
ENSG00000130775.16	THEMIS2	14253	15548	15878.998	14999.001	13534.001	17054
ENSG00000130779.20	CLIP1	9253.999	10424.001	9258.002	9525.998	9127	10171.998
ENSG00000130783.14	CCDC62	20	37	21	16	15	17
ENSG00000130787.14	HIP1R	19	33.999	10	24	29	17
ENSG00000130803.15	ZNF317	3252	3999.999	3386.001	3738.999	3505	3871
ENSG00000130810.20	PPAN	3775.458	2888.823	3471.76	4262.6	2821.691	3956.799
ENSG00000130811.12	EIF3G	8455	8158.001	7665.001	9787	7273	8622
ENSG00000130812.10	ANGPTL6	875	252.999	279.999	1039	238	234
ENSG00000130813.18	SHFL	1700.998	1845.001	1514	2064	1689	1766
ENSG00000130816.16	DNMT1	21847.998	23155	23078.999	21101.998	17979	23663.999
ENSG00000130818.12	ZNF426	785.999	796	729.001	687.001	775.999	819
ENSG00000130821.16	SLC6A8	1343.986	1638.992	1194.999	1533.001	1419	1326.987
ENSG00000130822.15	PNCK	0	1	1	0	2	1
ENSG00000130826.18	DKC1	3935	3738.999	4292	4291.001	3720.001	4888.001
ENSG00000130827.6	PLXNA3	3308.735	4183.442	1490.604	4182.387	3177.408	1751.151
ENSG00000130829.18	DUSP9	0	0	1	2	0	4
ENSG00000130830.15	MPP1	5275.002	7250.001	5043	7842.999	6984	8956.998
ENSG00000130844.18	ZNF331	1491.999	1581	1600.001	1621.001	1330	2320.001
ENSG00000130856.16	ZNF236	1137.999	1273	1074.999	1121.999	1079.001	1275
ENSG00000130876.11	SLC7A10	0	0	0	1	0	0
ENSG00000130881.14	LRP3	774	1259	1247	805	1126	1250
ENSG00000130921.8	C12orf65	326.992	371	371	399	348	419.999
ENSG00000130935.10	NOL11	2639.841	2664.834	2893.938	2924.233	2653.936	3115.718
ENSG00000130939.20	UBE4B	4240.121	4375.178	4228.192	4723.115	3969.122	5014.313
ENSG00000130940.15	CASZ1	611.999	484.999	538.001	606	547	662
ENSG00000130943.7	PKDREJ	1	0	0	1	4	1
ENSG00000130948.10	HSD17B3	0	0	0	1.727	1.049	0
ENSG00000130950.14	NUTM2F	0	1.013	0	0	0	0
ENSG00000130956.14	HABP4	353	419	368	393	390	383
ENSG00000130957.5	FBP2	1	3	1	5	2	2
ENSG00000130958.13	SLC35D2	765.984	1041.121	832.424	860.915	768.504	990
ENSG00000130962.17	PRRG1	138	125	203.999	164	145	232
ENSG00000130985.17	UBA1	16561.999	21219.001	17608.999	17928.001	18676.001	18691
ENSG00000130988.13	RGN	0	0	0	0	0	0
ENSG00000130997.16	POLN	12.118	24.426	9.799	9.375	9.3	26.368
ENSG00000131002.12	TXLNGY	985.999	0	1258	1118	0	1346
ENSG00000131007.9	TTTY9B	0	0	0	0	0	0
ENSG00000131013.4	PPIL4	1728	1818	1598	1767	1727	1849.981
ENSG00000131015.5	ULBP2	4	1	0	1	3	4
ENSG00000131016.17	AKAP12	9	6	2	5	1	1
ENSG00000131018.24	SYNE1	812	1247.001	1117.001	715	895	1100
ENSG00000131019.11	ULBP3	5	1	4.505	4	1	1
ENSG00000131023.13	LATS1	2853	3042	2797	2705	2566	2961
ENSG00000131037.15	EPS8L1	138	140	245.001	183	164.999	290.001
ENSG00000131042.14	LILRB2	24934.541	26407.682	31287.745	24027.554	22591.141	32218.863
ENSG00000131043.12	AAR2	1978	2059.999	1934	2108	2056	2139
ENSG00000131044.17	TTLL9	3	2	9	1	1	2
ENSG00000131050.11	BPIFA2	0	0	0	0	0	0
ENSG00000131051.24	RBM39	12363.989	14879.989	12790.187	13683.951	12890.08	13613.988
ENSG00000131055.5	COX4I2	0	0	0	0	0	0
ENSG00000131059.12	BPIFA3	0	0	0	0	0	0
ENSG00000131061.14	ZNF341	479.056	602.543	634.687	560.252	491.191	620.283
ENSG00000131067.17	GGT7	558	674	635	631.999	622	591
ENSG00000131068.4	DEFB118	0	0	0	0	0	0
ENSG00000131069.20	ACSS2	3103.999	4092	3580.001	3137	3191	3396.999
ENSG00000131080.15	EDA2R	54	67	46	51	50	32
ENSG00000131089.17	ARHGEF9	412.001	480.001	551	436.999	380.999	568
ENSG00000131094.4	C1QL1	3	3	3	0	0	1
ENSG00000131095.13	GFAP	63	85.999	53	86.001	74.999	85
ENSG00000131096.10	PYY	0	0	0	1	0	0
ENSG00000131097.7	HIGD1B	0	0	0	0	0	0
ENSG00000131100.13	ATP6V1E1	8697.906	11736.943	9134.649	9531.101	10708.777	10741.968
ENSG00000131115.16	ZNF227	683	758	753	693.001	650	763.001
ENSG00000131116.12	ZNF428	696	751	716	822	654	866
ENSG00000131126.18	TEX101	0	2	0	0	1	0
ENSG00000131127.14	ZNF141	943.03	958	959.139	921	776.447	918
ENSG00000131142.13	CCL25	0	4	1	1	0	1
ENSG00000131143.10	COX4I1	14165	16290.998	13349.001	14959.999	13284.999	14335.001
ENSG00000131148.9	EMC8	1442	1369.999	1482	1643.999	1354	1684.001
ENSG00000131149.19	GSE1	4033.999	3954	3916.999	4008	3590	3813.999
ENSG00000131152.4	AC010531.1	2.982	0	0	0	0	7.051
ENSG00000131153.9	GINS2	15	31	27	20	14	29
ENSG00000131165.15	CHMP1A	5012.999	5536.001	4791	5627	5078	5302.001
ENSG00000131171.13	SH3BGRL	17698.001	19914.999	20504	16969.001	16783	21043
ENSG00000131174.7	COX7B	5402	5925	4958.001	5280	4904	5246
ENSG00000131183.11	SLC34A1	0	0	1	0	0	0
ENSG00000131187.9	F12	39	42	29	43	27	32
ENSG00000131188.12	PRR7	19	23	24	28.999	19	23
ENSG00000131196.17	NFATC1	1541	1976	1943.001	1585.998	1602.001	1883
ENSG00000131203.13	IDO1	587	1679	668.999	545.001	1399	788
ENSG00000131233.10	GJA9	0	0	0	0	0	0
ENSG00000131236.17	CAP1	58967.416	60167.714	67188.8	54709.343	54383.258	68236.325
ENSG00000131238.17	PPT1	36837.002	30702.002	21666	41893.999	28589.998	22887
ENSG00000131242.18	RAB11FIP4	4976	7661	3696	4900.001	6417	3082.058
ENSG00000131263.13	RLIM	5629.426	5361.627	5294.128	5127.295	4566.491	5486.89
ENSG00000131264.3	CDX4	0	1	0	0	0	0
ENSG00000131269.19	ABCB7	1687	1833	1580	1862	1676.999	1778
ENSG00000131323.15	TRAF3	11379	13592	10901.001	11864.999	11312	11324.999
ENSG00000131351.15	HAUS8	588	671.001	664	692	596.001	761.999
ENSG00000131355.15	ADGRE3	9843.916	9001.828	7617.163	10117.735	8179.445	8780.246
ENSG00000131368.8	MRPS25	3026	3441.999	3182.999	3651	2918	3390
ENSG00000131370.16	SH3BP5	26169	23329.002	16790.999	34815.001	20835	23555.001
ENSG00000131373.15	HACL1	852	1031	949	976.999	932.999	1089.001
ENSG00000131374.14	TBC1D5	7230	8087	8156.002	6958.001	7130.001	8669.001
ENSG00000131375.10	CAPN7	1801.999	2209	1910.001	1934	1833.001	2271
ENSG00000131378.14	RFTN1	6211	9842.999	7073	6464.001	8509	6992
ENSG00000131379.10	C3orf20	2	13	5	5	9	8
ENSG00000131381.12	RBSN	2031.999	2057.001	2007.002	2166	1965	2199.999
ENSG00000131386.19	GALNT15	0	0	0	0	0	1
ENSG00000131389.17	SLC6A6	30309.001	33765.998	26449.002	34732.999	31535.999	30627
ENSG00000131398.14	KCNC3	1827	1978.001	2044	2379.999	2050	2353
ENSG00000131400.8	NAPSA	58.6	55.999	59.078	42.753	45.181	49
ENSG00000131401.11	NAPSB	5.399	23	69.922	8.247	30.819	41
ENSG00000131408.15	NR1H2	6683	7817.001	6490.001	6994	6798.001	6974
ENSG00000131409.13	LRRC4B	0	0	0	0	0	0
ENSG00000131435.13	PDLIM4	829	1215	755	1015.001	1151.999	722.999
ENSG00000131437.15	KIF3A	179	229	153	165	166	148
ENSG00000131446.16	MGAT1	38973	46310	31094.999	49237	41089	41266
ENSG00000131459.13	GFPT2	106	209	45	162	161	73
ENSG00000131462.8	TUBG1	2125.88	2164.827	1960.555	2376.8	2025.955	2381.658
ENSG00000131467.11	PSME3	7592	7400	7599	7956	7170.001	8603.999
ENSG00000131469.14	RPL27	9265	9533	9369.981	9260	8396.001	11014.001
ENSG00000131470.14	PSMC3IP	103	146.999	101	107	108	117
ENSG00000131471.7	AOC3	30	41.001	28	29	31.876	31
ENSG00000131473.17	ACLY	9727	10431	9829	9875.999	8896	10534.001
ENSG00000131475.7	VPS25	2065.999	2171.999	2100	2084	1990	2426
ENSG00000131477.11	RAMP2	1	0	0	1	1	0
ENSG00000131480.9	AOC2	31	72	43	59	41	62
ENSG00000131482.10	G6PC	2	0	1	0	0	0
ENSG00000131484.4	AC091132.1	18.656	10.39	10.215	11.494	2.848	3.858
ENSG00000131495.8	NDUFA2	2063	1976	1784.999	2098.001	1843.999	2041
ENSG00000131503.21	ANKHD1	10884.619	12228.972	10594.654	10717.051	9659.176	11119.498
ENSG00000131504.17	DIAPH1	37369.999	37777	38763	32172	29904.001	33893
ENSG00000131507.11	NDFIP1	5458	6085	5483	5589	5573.999	6140
ENSG00000131508.16	UBE2D2	4842.9	4860.808	4763.117	5297.195	4538.901	5566.409
ENSG00000131538.7	TTTY6	0	0	0	0	0	0
ENSG00000131548.7	TTTY6B	0	0	0	0	0	0
ENSG00000131558.15	EXOC4	3776	5133.999	4317	3726	4219	4596.001
ENSG00000131584.19	ACAP3	2816.999	3269	3973.999	3420	2672.001	3995.003
ENSG00000131591.17	C1orf159	713	909.001	746	840.999	737	837.999
ENSG00000131620.17	ANO1	0	0	1	0	1	0
ENSG00000131626.18	PPFIA1	6441	8175.001	6696.999	7586.001	7555.998	8416
ENSG00000131634.14	TMEM204	2	2	2	3	6	2
ENSG00000131650.14	KREMEN2	0	0	0	1	3	0
ENSG00000131652.14	THOC6	1949	2140.999	2417.001	2116.999	1911	2491.001
ENSG00000131653.13	TRAF7	5082	5701.001	5955	5810.999	5025	6743
ENSG00000131668.14	BARX1	0	6	0	2	8	1
ENSG00000131669.10	NINJ1	8228	11809	7423	12197.999	11942.999	12076
ENSG00000131686.15	CA6	0	0	0	0	0	1
ENSG00000131697.18	NPHP4	563.999	594	550.999	635	435.001	586.999
ENSG00000131711.15	MAP1B	2	0	0	0	0	0
ENSG00000131721.6	RHOXF2	0	2	0	0	0	2
ENSG00000131724.11	IL13RA1	17946.999	19294	19740	14110	14271.001	17612
ENSG00000131725.14	WDR44	1123	1150	1215.999	1133	970	1274
ENSG00000131730.16	CKMT2	0	0	0	0	0	0
ENSG00000131732.12	ZCCHC9	1337	1728.999	1459	1579	1575	1638
ENSG00000131737.5	KRT34	0	0	0	0	0	0
ENSG00000131738.11	KRT33B	0	0	0	0	0	0
ENSG00000131746.13	TNS4	0	0	0	1	0	1
ENSG00000131747.15	TOP2A	33	42	21	29	37	31
ENSG00000131748.16	STARD3	4708.999	5967.998	4923.001	5221	5264	5169.001
ENSG00000131759.18	RARA	7870	7413	7858	7497.999	6379	7484.001
ENSG00000131771.14	PPP1R1B	0	0	0	0	0	1
ENSG00000131773.14	KHDRBS3	41	29	14	47	26	13
ENSG00000131778.19	CHD1L	1832.2	2508.356	2824.157	2286	2257.999	3206.51
ENSG00000131779.11	PEX11B	983.225	935.239	989.357	966.274	861.181	1043.273
ENSG00000131781.13	FMO5	25	50.999	60.001	34	37	64
ENSG00000131788.16	PIAS3	941	1127.999	1092	975.999	951	1079
ENSG00000131791.8	PRKAB2	638.999	774	745.001	697.001	699.001	767
ENSG00000131797.12	CLUHP3	3	1	0	2	3	1
ENSG00000131808.10	FSHB	0	0	0	0	0	0
ENSG00000131828.14	PDHA1	6661.002	6094.002	5778	6783	5248	6115.001
ENSG00000131831.18	RAI2	0	0	0	0	0	0
ENSG00000131844.16	MCCC2	1720	1472	2050.001	2071.999	1519	2610
ENSG00000131845.14	AC005261.1	529	675	698	505	633	758
ENSG00000131848.9	ZSCAN5A	473.79	467.975	374.898	461.862	442.83	411.787
ENSG00000131849.12	ZNF132	200	340	106	206	267	108
ENSG00000131864.10	USP29	0	0	0	0	0	0
ENSG00000131871.15	SELENOS	2666.999	2583	2411	2943	2548	2884.001
ENSG00000131873.7	CHSY1	4420	5789.001	3764	4510.001	5420.001	4146.999
ENSG00000131876.17	SNRPA1	2660.618	2730.739	3128.751	2692.846	2621.768	3562.597
ENSG00000131885.17	KRT17P1	0	0	0	1	1	0
ENSG00000131899.11	LLGL1	836.999	1117	1076	901	1139	1222
ENSG00000131910.5	NR0B2	0	0	0	0	0	0
ENSG00000131914.11	LIN28A	0	0	0	0	0	1
ENSG00000131931.8	THAP1	838	900	849	798.999	778.001	875.999
ENSG00000131941.8	RHPN2	0	0	0	0	1	1
ENSG00000131943.17	C19orf12	1146	1184	1080.999	1379.999	1239.001	1226
ENSG00000131944.10	FAAP24	156	208	130	144	190	128
ENSG00000131951.11	LRRC9	0	0	0	2	2	2
ENSG00000131966.14	ACTR10	2715	3088.999	2847	2918.999	2773	3191
ENSG00000131969.15	ABHD12B	7	16	5	8	14	5
ENSG00000131979.19	GCH1	107	184	249	114	223	285
ENSG00000131981.16	LGALS3	27172.001	33723.999	18581	42191	33056	29590
ENSG00000131982.5	UBE2L2	0	0	0	0	0	0
ENSG00000132000.13	PODNL1	7	14.001	16.001	15	13	12
ENSG00000132002.8	DNAJB1	5154	5558	4727	5630	4715.999	5860
ENSG00000132003.9	ZSWIM4	3218	4029.001	3039	3595	3750	2965
ENSG00000132004.13	FBXW9	132	115	111	127	82	140.001
ENSG00000132005.9	RFX1	1244	1376	1382	1653.001	1318	1529.001
ENSG00000132010.16	ZNF20	15.79	28.508	33.29	20.424	9.196	22.399
ENSG00000132016.11	C19orf57	43	43	26	52	36	27
ENSG00000132017.10	DCAF15	2514	2977	2938	2908	2676.999	3130
ENSG00000132024.17	CC2D1A	2919	3161	2997.001	3413.001	2969	3340
ENSG00000132026.13	RTBDN	0	0	0	0	0	0
ENSG00000132031.13	MATN3	0	10	6	1	16	2
ENSG00000132109.10	TRIM21	3114	3343	2875	2938	2925	2855
ENSG00000132122.12	SPATA6	51	58	72	43	44	53
ENSG00000132128.16	LRRC41	2540	2698.001	2410.001	2832.999	2561.999	2902
ENSG00000132141.14	CCT6B	29	44	34	43	35	50
ENSG00000132153.15	DHX30	5252	5722.001	5397.001	5687.001	5113.999	5861
ENSG00000132155.12	RAF1	9068	10987.002	8652	10732.001	9355	9941.001
ENSG00000132164.10	SLC6A11	8	2	16	3	3	5
ENSG00000132170.21	PPARG	1774.999	648.001	1234	2780	1100	2249.001
ENSG00000132182.12	NUP210	2550	2877	3312	3233	2814	3729
ENSG00000132185.16	FCRLA	1774	1641.999	1792.999	1627	1381.999	1326
ENSG00000132196.14	HSD17B7	364.772	456.038	500.565	409.755	388.31	536.98
ENSG00000132199.20	ENOSF1	2741.999	2483	2305.999	4947.998	2611	3815.999
ENSG00000132204.14	LINC00470	3	5	7	1	0	5
ENSG00000132205.11	EMILIN2	32170	35794	36941	33767	31350	40039.001
ENSG00000132207.17	SLX1A	693.19	589.939	403.77	751.76	495.386	466.749
ENSG00000132254.12	ARFIP2	1501.999	1703	1409.999	1743	1452	1615.999
ENSG00000132256.19	TRIM5	682	521.999	630	593.999	461.001	616
ENSG00000132259.13	CNGA4	1	4	9	2	5	11
ENSG00000132274.16	TRIM22	4148	4237	4332	4485	3510	4703
ENSG00000132275.11	RRP8	1105	1262.999	936.001	1091	1032	1084.001
ENSG00000132286.12	TIMM10B	1514	1729.57	1422	1839.448	1604.681	1752.103
ENSG00000132294.15	EFR3A	9674.001	10556	9137	10545	9577	10239.001
ENSG00000132297.12	HHLA1	0	0	0	0	0	0
ENSG00000132300.19	PTCD3	2933	3192.999	3146.001	3181	2897	3373
ENSG00000132305.20	IMMT	6834.001	7614	6291	7225	6771.999	6894
ENSG00000132313.15	MRPL35	2215.954	2394.718	2253.974	2450.896	2226.966	2521
ENSG00000132321.17	IQCA1	0	1	0	0	0	0
ENSG00000132323.9	ILKAP	1430.001	1750	1598.999	1672	1532	1794.999
ENSG00000132326.12	PER2	1975	2460	2091	2270	2030	2365
ENSG00000132329.11	RAMP1	174	287	70	184	241	67
ENSG00000132330.18	SCLY	1131.112	1107.933	1335.185	1124.398	944.308	1367.76
ENSG00000132334.16	PTPRE	72232	85530	66260.999	81003	77747	72418.998
ENSG00000132341.12	RAN	10124.59	9799.262	10419.175	11022.556	9737.562	12201.883
ENSG00000132356.11	PRKAA1	2690	2769	2858	2537.001	2669.001	3227.001
ENSG00000132357.14	CARD6	1545	1918	1830	1681	1812	1980
ENSG00000132359.15	AC002316.1	1613	1961.001	2142.999	1449.999	1408.999	1829
ENSG00000132361.17	CLUH	9379.001	9556	9308	10741.001	8463.001	10061
ENSG00000132376.20	INPP5K	2553.999	3252	2366.999	2824.999	2789.001	2592
ENSG00000132382.14	MYBBP1A	3456	3454.999	3936	4285	3432	4744
ENSG00000132383.12	RPA1	5242	6270.999	5828	5357	5419.999	6138
ENSG00000132386.11	SERPINF1	28	68	80	37	52	78
ENSG00000132388.12	UBE2G1	3087.001	3257.001	3000	3130.001	3038.009	3382
ENSG00000132394.11	EEFSEC	1038	1014	1244	1177.999	1014	1391
ENSG00000132405.19	TBC1D14	7289	7241	9151.001	8218.001	6631.001	11384.001
ENSG00000132406.12	TMEM128	977	890	844	987	772	960.894
ENSG00000132423.12	COQ3	136	118.999	160	136	144	176
ENSG00000132424.16	PNISR	5882.001	8235.001	6906.001	7597.999	6503.001	7308
ENSG00000132429.10	POPDC3	21	38	5	35	34	10
ENSG00000132432.14	SEC61G	2258	2226.001	2048.001	2355	2137	2464
ENSG00000132434.9	LANCL2	718	686	684	690	674	801
ENSG00000132436.11	FIGNL1	577.002	816	738.001	766	782	861.001
ENSG00000132437.18	DDC	0	0	0	1	0	1
ENSG00000132446.7	FTHL17	0	0	0	0	0	0
ENSG00000132463.14	GRSF1	5452.999	5461	5824.999	5755.001	5124	5992
ENSG00000132464.12	ENAM	0	0	1	0	1	1
ENSG00000132465.11	JCHAIN	2	2	0	4	3	1
ENSG00000132466.19	ANKRD17	7240	7581	6882	7005	6404.001	7518.999
ENSG00000132467.4	UTP3	3156	3210	2899	3233	2723	3233
ENSG00000132470.14	ITGB4	12	24	4	21	26	29
ENSG00000132471.12	WBP2	10843.001	14955.295	11282.998	13740.267	13042.476	14134.254
ENSG00000132475.10	H3-3B	27594.031	31322.661	28236.847	27188.442	26027.493	28176.931
ENSG00000132478.10	UNK	1928.001	2152.999	1799.999	2443.001	1941	2145.001
ENSG00000132481.7	TRIM47	301.001	539	362	689	749	727
ENSG00000132485.14	ZRANB2	3266.001	3622	3527.999	3461.999	3240.001	3787
ENSG00000132507.18	EIF5A	18653.316	15823.883	19310.387	19659.58	15075.152	22278.02
ENSG00000132510.10	KDM6B	7885	12343	7950.001	9364.999	10038.999	8231
ENSG00000132514.13	CLEC10A	12614.999	14341	22615	7431	11254	15852.999
ENSG00000132517.15	SLC52A1	1	0	2	1	0	1
ENSG00000132518.7	GUCY2D	9	22	44	17	22	50
ENSG00000132522.16	GPS2	3095.462	3508.676	3210.318	3665.631	2994.497	3615.171
ENSG00000132530.17	XAF1	692	856.999	873.001	667	877	788
ENSG00000132535.20	DLG4	3561	3591.002	4042	3720	3059	3958
ENSG00000132541.11	RIDA	197.999	214	222	230.999	176	235
ENSG00000132549.18	VPS13B	4362.999	4425	4048.999	3695	3352	3850
ENSG00000132554.20	RGS22	0	0	0	0	0	0
ENSG00000132561.14	MATN2	15	20	5	11	10	6
ENSG00000132563.16	REEP2	7	14	3	8	8	6
ENSG00000132570.15	PCBD2	803.468	948.832	764.846	960.798	764.964	864.997
ENSG00000132581.10	SDF2	2255.001	2459	2089.002	2317.999	2105	2191.001
ENSG00000132589.16	FLOT2	5822.001	7085.001	8934	5345	6083.999	7921
ENSG00000132591.12	ERAL1	1716.001	1844	1720	1970	1740.001	1951
ENSG00000132600.16	PRMT7	990.002	1068.002	1145	1170	877.999	1183.998
ENSG00000132603.15	NIP7	1836	1635	1716	1988	1765	2208
ENSG00000132604.11	TERF2	1479	1608.997	1541	1636.999	1372.997	1692
ENSG00000132612.16	VPS4A	2693.824	2540.59	2549.93	3104.768	2524.03	2818.047
ENSG00000132613.15	MTSS2	79	213	95	118	143	134
ENSG00000132622.11	HSPA12B	0	0	1	0	0	0
ENSG00000132623.16	ANKEF1	21	32	40	11	37	65
ENSG00000132631.6	SCP2D1	0	0	0	0	0	0
ENSG00000132635.17	PCED1A	1065	1598	1210	1394	1227	1120
ENSG00000132639.12	SNAP25	1	10	1	4	4	2
ENSG00000132640.15	BTBD3	1953	1801.001	1768	1602	1504.002	1608.001
ENSG00000132646.11	PCNA	3384	3870	3183	3526	3482	3472
ENSG00000132661.4	NXT1	621	633	689	655	574	710
ENSG00000132664.12	POLR3F	768	715	743	785	736.999	790
ENSG00000132669.13	RIN2	6001.002	6166.001	6572	5936.293	5384	7459.999
ENSG00000132670.20	PTPRA	5468.001	6142	4660.889	6020.001	5611.999	4860
ENSG00000132671.5	SSTR4	0	0	0	0	0	0
ENSG00000132676.16	DAP3	3179.919	3447.925	3378.057	3672.326	3216.904	4077.63
ENSG00000132677.13	RHBG	0	0	0	1	0	0
ENSG00000132680.11	KHDC4	2412.985	3198.974	2599	2949.999	2871.981	2966
ENSG00000132681.17	ATP1A4	3	1	1	8	4	4
ENSG00000132688.11	NES	906	1666	350	1745	2786	465
ENSG00000132692.19	BCAN	1	4	2	4	11	3
ENSG00000132693.12	CRP	0	0	0	0	0	0
ENSG00000132694.18	ARHGEF11	5715.999	7612.001	6317	7138.999	6947	8193.999
ENSG00000132698.15	RAB25	0	1	2	10	3	2
ENSG00000132702.13	HAPLN2	0	0	0	1	0	1
ENSG00000132703.4	APCS	0	0	0	0	0	0
ENSG00000132704.16	FCRL2	0	1	1	0	0	2
ENSG00000132716.19	DCAF8	4718.366	6215.829	5678.77	5994.432	5120.25	6062.814
ENSG00000132718.9	SYT11	2195	2437	1924	2293	2048	1918
ENSG00000132740.8	IGHMBP2	1557.001	1834.001	1887	1983.999	1742.999	1902.999
ENSG00000132744.8	ACY3	2	2	3	1	4	2
ENSG00000132746.15	ALDH3B2	0	0	0	0	0	0
ENSG00000132749.11	TESMIN	21	20	45	28	26	59.001
ENSG00000132763.15	MMACHC	244	256	261	197	206	228
ENSG00000132768.14	DPH2	1635.999	1639.999	1758	2024.001	1580.999	1982.999
ENSG00000132773.12	TOE1	510	505	462.001	573	517.001	574.999
ENSG00000132780.17	NASP	2508.178	2634.848	2765.964	2503.987	2353	2751.953
ENSG00000132781.18	MUTYH	563.003	811.999	591.116	759	700.432	684.944
ENSG00000132792.19	CTNNBL1	4420.999	4826	4428.999	5425.001	4986.999	5735
ENSG00000132793.11	LPIN3	53	85	56	100	105	60
ENSG00000132801.7	ZSWIM3	230	274	288	243	230	272
ENSG00000132819.17	RBM38	3384	6182	4522.999	3658.999	5610	4509.001
ENSG00000132821.12	VSTM2L	155	334	56	188	305	45
ENSG00000132823.11	OSER1	2180	2821	2106	2480	2525	2519
ENSG00000132824.14	SERINC3	10244	11584	10248	10564	10098	11069
ENSG00000132825.7	PPP1R3D	1032	1085	1016	1006	933	1160
ENSG00000132832.10	AL139352.1	0	0	1	1	2	0
ENSG00000132837.15	DMGDH	2	2	0	0	3	0
ENSG00000132840.10	BHMT2	1	2	1	2	3	0
ENSG00000132842.13	AP3B1	7403.002	8154.001	7569	7320.951	7040	8236
ENSG00000132846.6	ZBED3	649	670	361	1171	750	776
ENSG00000132849.20	PATJ	4	12	2	11	16	1
ENSG00000132854.19	KANK4	1	2	0	0	0	1
ENSG00000132855.5	ANGPTL3	0	0	0	0	0	0
ENSG00000132872.12	SYT4	2	3	1	0	0	1
ENSG00000132874.15	SLC14A2	0	1	1	4	1	0
ENSG00000132879.14	FBXO44	344.898	578.316	522.985	449.529	516.854	452.961
ENSG00000132881.12	CPLANE2	53	58	93	51	40	76
ENSG00000132906.18	CASP9	975	1305.999	680.001	1079.001	1211.001	798
ENSG00000132911.4	NMUR2	1	0	2	0	0	0
ENSG00000132912.12	DCTN4	3829	4138	3665	4142.999	4104	4113
ENSG00000132915.11	PDE6A	1	0	0	0	0	1
ENSG00000132932.17	ATP8A2	0	1	1	1	2	0
ENSG00000132938.20	MTUS2	0	3	11	0	2	4
ENSG00000132950.19	ZMYM5	509	572	541.001	593	532.999	591.999
ENSG00000132952.12	USPL1	2436	3065	2683.001	2626	2491	3020
ENSG00000132953.16	XPO4	2495	2543	2497	2486	2105	2759
ENSG00000132958.17	TPTE2	2	2	1	1	0	0
ENSG00000132963.8	POMP	5337	5204	5386	5624	5067	6256
ENSG00000132964.12	CDK8	1059	1057.001	935	1000	910.999	1027
ENSG00000132965.9	ALOX5AP	20084	17366	32037	17541	15421	35248.001
ENSG00000132967.9	HMGB1P5	2269.995	2467.766	2226.755	2133.486	2018.637	2479.32
ENSG00000132970.14	WASF3	9	12	4	12	7	6
ENSG00000132972.19	RNF17	0	0	0	0	0	0
ENSG00000132975.8	GPR12	1	0	0	0	0	0
ENSG00000133019.11	CHRM3	1	2.011	1	1	1	0
ENSG00000133020.4	MYH8	0	0	0	0	0	0
ENSG00000133026.12	MYH10	7	27	2	14	22	3
ENSG00000133027.18	PEMT	831	778	896	796.001	730	1024
ENSG00000133028.12	SCO1	2675.999	2712	2791	2972	2571.999	3260
ENSG00000133030.21	MPRIP	5032.193	5751.396	4863.67	4693.127	4557.961	5101.248
ENSG00000133048.13	CHI3L1	14943.999	18377.451	700.019	37116	32124	2059.123
ENSG00000133055.9	MYBPH	100	173	16	202	252	37
ENSG00000133056.13	PIK3C2B	192.999	234.999	145	205	242	159
ENSG00000133059.17	DSTYK	2257	1882	1851.001	2011.999	1504	1940
ENSG00000133063.16	CHIT1	52	72	61	49	43	39.001
ENSG00000133065.11	SLC41A1	206	262	171	212	222	216
ENSG00000133067.17	LGR6	0	0	0	0	0	0
ENSG00000133069.17	TMCC2	12	40	23	13	43	33
ENSG00000133083.14	DCLK1	1	2	0	0	0	0
ENSG00000133101.10	CCNA1	103	110	98	112	101	97
ENSG00000133103.17	COG6	736	787	746	680	671.999	802
